time,intensity
0.010623693466186523,1531.0
0.029932498931884766,1527.0
0.13085174560546875,1491.0
0.23068475723266602,1489.0
0.3325202465057373,1504.0
0.43267178535461426,1533.0
0.5310227870941162,1507.0
0.6311590671539307,1559.0
0.7311110496520996,1461.0
0.8315787315368652,1525.0
0.9302763938903809,1515.0
1.0310862064361572,1516.0
1.1309728622436523,1528.0
1.2317116260528564,1493.0
1.3312034606933594,2632.0
1.4317700862884521,2991.0
1.5310966968536377,3226.0
1.6313583850860596,3584.0
1.7303521633148193,3674.0
1.8319580554962158,3792.0
1.9313483238220215,3789.0
2.031540632247925,3694.0
2.131258487701416,3729.0
2.2309329509735107,3670.0
2.331003427505493,3710.0
2.4322149753570557,3580.0
2.530513048171997,3684.0
2.63153076171875,3691.0
2.731524705886841,3655.0
2.8305230140686035,3732.0
2.9307861328125,3734.0
3.031381368637085,3812.0
3.130600690841675,3831.0
3.232372760772705,3845.0
3.330552816390991,3860.0
3.430995464324951,3866.0
3.5310142040252686,3724.0
3.630671262741089,3748.0
3.7310268878936768,3852.0
3.8314435482025146,3776.0
3.931058883666992,3783.0
4.031824111938477,3721.0
4.1311562061309814,3794.0
4.231904029846191,3833.0
4.331717252731323,3688.0
4.4326136112213135,1536.0
4.532182931900024,1504.0
4.631884336471558,1490.0
4.731505393981934,1553.0
4.83228611946106,1516.0
4.930697441101074,1524.0
5.031324148178101,1503.0
5.1313440799713135,1526.0
5.231227874755859,1466.0
5.33169150352478,1474.0
5.431941747665405,1532.0
5.532065391540527,1544.0
5.631840705871582,1487.0
5.731208801269531,1505.0
5.831489324569702,1520.0
5.93065333366394,1418.0
6.031032562255859,1512.0
6.131333827972412,1531.0
6.230710983276367,1432.0
6.332150936126709,1497.0
6.432593107223511,1527.0
6.531113386154175,1494.0
6.632080316543579,1519.0
6.7322304248809814,1581.0
6.832540035247803,1488.0
6.932419538497925,1529.0
7.031111478805542,1554.0
7.130672216415405,1457.0
7.232101678848267,1464.0
7.330608606338501,1556.0
7.431579113006592,1478.0
7.531480073928833,1527.0
7.631955146789551,1560.0
7.73223352432251,1561.0
7.832288980484009,1466.0
7.931545734405518,1547.0
8.03338623046875,1488.0
8.131105661392212,1457.0
8.232602596282959,1526.0
8.332077264785767,1508.0
8.4325692653656,1525.0
8.532443284988403,1445.0
8.63171124458313,1513.0
8.731494903564453,1477.0
8.831052780151367,1499.0
8.93034553527832,1500.0
9.032130002975464,1470.0
9.132085084915161,1487.0
9.23161268234253,1548.0
9.331217765808105,1592.0
9.431753873825073,1489.0
9.532563924789429,1528.0
9.632149934768677,1483.0
9.731439113616943,1508.0
9.83185601234436,1498.0
9.932066440582275,1526.0
